mjd,filter,mag,magerr,sn
58679.44986,gp,18.52258463,0.023559188,46.20576234
58679.45173,rp,18.44524974,0.023287215,46.68396611
58679.45359,gp,18.49723804,0.025480593,42.71399398
58679.45546,rp,18.45923143,0.024846416,43.75375096
58679.45733,gp,18.50097602,0.030028902,36.22820075
58682.40074,rp,18.27332027,0.263578326,4.12402429
58682.4026,gp,18.48004758,0.420447498,2.585348918
58682.40446,rp,18.2021962,0.486743357,2.233210276
58682.40631,gp,19.49980273,1.335340993,0.81402438
58682.40818,rp,18.13764063,0.411822525,2.639486949
58682.41005,gp,22.10631965,16.16987227,0.067223784
58683.3533,rp,18.4609563,0.091597196,11.86724768
58683.35517,gp,18.48941571,0.070664003,15.3843507
58683.35704,rp,18.45005416,0.055024699,19.75525116
58683.3589,gp,18.5161808,0.064143979,16.94869962
58683.36075,rp,18.47545102,0.057964305,18.75333508
58683.36261,gp,18.53769579,0.0620414,17.52381224
58683.36896,rp,18.43882621,0.035808584,30.35819429
58683.37082,gp,18.49742466,0.036333099,29.9317924
58683.37271,rp,18.48593446,0.033970536,32.00103699
58683.37457,gp,18.50450593,0.03928529,27.68177396
58683.37643,rp,18.41505606,0.032179208,33.78274313
58683.3783,gp,18.51082231,0.034059895,31.93085454
58684.35062,rp,18.51822025,0.036620409,29.68422088
58684.35249,gp,18.39964522,0.034595797,31.43603285
58684.35435,rp,18.47918109,0.036498083,29.78394111
58684.35622,gp,18.54144469,0.039782006,27.33481056
58684.35809,rp,18.44321897,0.033546704,32.40470475
58684.35996,gp,18.50835902,0.039024382,27.86550735
58685.35229,rp,18.46009127,0.029124844,37.3242172
58685.35418,gp,18.45132355,0.026307072,41.35612828
58685.35607,rp,18.4328703,0.026930887,40.36555409
58685.35793,gp,18.44144249,0.02609498,41.69427089
58685.35987,rp,18.4593863,0.027100116,40.11511372
58685.36173,gp,18.42815588,0.024826,43.83292353
58686.45025,rp,18.46955727,0.034687013,31.33988898
58686.45211,gp,18.50584881,0.030156486,36.07254614
58686.45398,rp,18.50949463,0.031058841,35.00227809
58686.45585,gp,18.46710962,0.028070174,38.75559152
58686.45772,rp,18.41943363,0.030420567,35.73570858
58686.45958,gp,18.4601825,0.032216821,33.76076673
58688.42748,rp,18.43757741,0.021564211,50.4175058
58688.42935,gp,18.4486489,0.018274422,59.5966636
58688.4312,rp,18.43398587,0.020879778,52.07040473
58688.43306,gp,18.48897054,0.018471609,58.96629235
58688.43492,rp,18.41818517,0.020434624,53.2050876
58688.43677,gp,18.45965045,0.01836922,59.30558686
58689.34725,rp,18.49109587,0.029927939,36.32378571
58689.34915,gp,18.4426848,0.028128411,38.67096333
58689.35101,rp,18.48820234,0.044214209,24.58595561
58689.35287,gp,18.53264822,0.034891348,31.16955809
