mjd,bjd,mag,magerr,filter,sn,site_id,fwhm,Nbin
59403.389649444456,2459403.888240279,18.404658507845664,0.014929396067102835,gp,72.7423932702153,elp,1.7464464610156536,3.0
59403.39483202159,2459403.893423205,18.46763641550074,0.018723685393025134,rp,58.001401818284776,elp,2.958546431309207,3.0
59404.38749596837,2459404.8861534796,18.412343249672958,0.0167835427341715,gp,64.70624332423516,elp,1.8046731028563088,3.0
59404.39265901621,2459404.891316877,18.458196022822957,0.019219314523435265,rp,56.50565729988835,elp,2.9247038903927742,3.0
59405.38890491127,2459405.8876299444,18.40307710408311,0.01799947697765007,gp,60.33508647770628,elp,2.317601406927462,3.0
59405.394063252315,2459405.8927886374,18.463058642797954,0.0246977895853522,rp,43.971546370452785,elp,2.4177657116422275,3.0
59406.413534195606,2459406.9123289385,18.409463921219,0.021228754166266052,gp,51.157029352468015,elp,2.0265313439568957,2.0
59406.418686496916,2459406.917481595,18.483109109275595,0.023277301698321703,rp,46.65489213804798,elp,2.3312294170847534,3.0
59410.44140520834,2459410.940479462,18.417584355132153,0.027064848328180634,gp,40.125848363584886,elp,3.7516298089747937,3.0
59410.446547885804,2459410.9456225038,18.523421580865207,0.03315226789072131,rp,32.75793992675689,elp,3.5088081427634266,3.0
59413.43593966435,2459413.9352268227,18.412652757376286,0.0322413541721501,gp,33.68344872245102,elp,1.9088098599889571,3.0
59413.441090119595,2459413.9403776494,18.505323554941853,0.03833112806848857,rp,28.33206468798877,elp,1.80321605273985,3.0
59414.353651419755,2459414.8530045496,18.404319495563954,0.018804094053570797,gp,57.75338056202577,elp,2.036937721643459,3.0
59414.35880051698,2459414.8581540226,18.458665674067685,0.0210681132404484,rp,51.54709335409317,elp,2.8641389635402006,3.0
59416.36310437114,2459416.8626032197,18.395562792819273,0.0443809241821902,gp,24.469972629272224,elp,1.9449571800667236,3.0
59416.36826533565,2459416.867764564,18.497204841661333,0.03586147522980307,rp,30.283193679033815,elp,2.0294174509384764,3.0
59417.435877121905,2459417.9354544044,18.40925797306161,0.020352717530813264,gp,53.35896783099535,elp,1.8244646026716822,3.0
59417.44101638889,2459417.940594049,18.47842745224263,0.022128691314385666,rp,49.076557875521594,elp,2.666290499724784,3.0
59418.358074344134,2459418.857719282,18.4374459027972,0.12718752659154847,rp,8.538573153384712,elp,2.5670311796619614,3.0
59421.39340130787,2459421.893270936,18.306590666301673,0.07011132775709211,gp,15.48965102704314,elp,1.9609609705426576,2.0
59421.39769740356,2459421.8975673537,18.518937973275087,0.0751328911322708,rp,14.454388532555024,elp,2.5455654634936065,3.0
59422.4567946142,2459422.956743577,18.384194948124776,0.030731866232338933,gp,35.337912503901556,elp,1.8199219579572574,3.0
59422.46195790123,2459422.9619072513,18.503004014795536,0.03341139038837946,rp,32.50388527314065,elp,2.6621176517298184,3.0
59423.43248856096,2459423.9325105236,18.365018507889513,0.0598798693064052,gp,18.136312129255654,elp,2.2044271890269926,3.0
59423.437640625,2459423.937662976,18.386911654540384,0.08997923435349349,rp,12.069451444024603,elp,1.935721239693531,3.0
59424.45578922067,2459424.9558879877,18.445212657560447,0.04872618161057749,gp,22.28781250867092,elp,4.17785788645947,3.0
59424.460927314816,2459424.9610264692,18.58825551580437,0.061282600572407274,rp,17.721180071607076,elp,4.0414405820218215,3.0
59427.44024544642,2459427.9405693086,18.396137369320726,0.023504435560380114,gp,46.20404507099073,elp,1.8030236003181308,7.0
59428.18520348766,2459428.685583616,18.39903751804579,0.0196611838003152,gp,55.23573814424083,tfn,3.233258808506006,3.0
59428.190352797064,2459428.690733315,18.50380160848143,0.027955629379549134,rp,38.84727420211331,tfn,3.3535087638042307,3.0
59429.20521434414,2459429.705671802,18.429389831070402,0.017443522610548632,gp,62.25806703419312,tfn,2.5863935550030095,3.0
59429.21036442901,2459429.7108222763,18.507791973576346,0.0216807604943948,rp,50.090493840415206,tfn,2.4298251500211534,3.0
59430.21276702161,2459430.71330097,18.43495997042409,0.0190230600962067,gp,57.08860690696942,tfn,3.3557837297964803,3.0
59430.217931581785,2459430.71846592,18.50037385801715,0.0251164437342309,rp,43.23860541291137,tfn,2.940231237352606,3.0
59431.19215387345,2459431.692762259,18.41175566435666,0.012985151388439233,gp,83.63398835433472,tfn,2.03606639526658,3.0
59431.197301608794,2459431.697910384,18.477411007828515,0.016757120541498634,rp,64.80827044900377,tfn,2.925651697370419,3.0
59432.43058634491,2459432.9312890638,18.387597481658474,0.02780626214506988,gp,39.05595057452015,elp,1.6690684827907465,5.0
59433.20181401621,2459433.7025752724,18.405875184236944,0.012608859740296866,gp,86.12991359791516,tfn,2.142988199312382,3.0
59433.20696491899,2459433.7077265657,18.47299071888385,0.0157384018657328,rp,69.00319417847287,tfn,2.4913338055116414,3.0
59436.202142943665,2459436.7031324566,18.428475900060135,0.0149926832980398,gp,72.4353325159605,tfn,2.506286108772961,3.0
59436.207301489194,2459436.7082913923,18.477435913106714,0.0198381350192543,rp,54.74304912966672,tfn,2.9827914536997717,3.0
59445.16324863812,2459445.6649143295,18.418566318179412,0.0164712081047875,gp,65.93323289287716,tfn,2.6250149182625204,3.0
59445.16671158565,2459445.668377534,18.459359245058987,0.0229737368897509,rp,47.31489728935412,tfn,2.382541869359885,1.0
59447.17913837192,2459447.6809538854,18.47927876885128,0.033103187660904594,gp,32.80650827722503,tfn,2.3256724749792377,3.0
59447.18431617284,2459447.686132068,18.502736027121898,0.034554564963769435,rp,31.42855368425776,tfn,2.5777187495122003,3.0
59449.15862486883,2459449.660586351,18.46292420057945,0.04357162821430716,gp,24.924475960790502,tfn,2.6229899069475273,3.0
59449.1637835841,2459449.6657454437,18.53849938220995,0.04024483279476516,rp,26.984830712012833,tfn,2.7892190674251798,3.0
59450.12994446373,2459450.6319771097,18.412399563862312,0.03245206128646217,gp,33.464746365835325,tfn,2.4495376874605213,3.0
59450.13511339892,2459450.637146421,18.488054711698187,0.030420219110859566,rp,35.69994009715447,tfn,2.264796096057927,3.0
59451.19150003473,2459451.6936100405,18.44852356641516,0.03663071275715953,gp,29.64725276299025,tfn,3.326950425612077,3.0
59451.196652754625,2459451.6987631326,18.507634898883587,0.04136687308885676,rp,26.252890753121545,tfn,2.9925746872738856,3.0
