,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
44,775104100001769,58646833,2458340.9687088644,58340.4683333,18.5951481,0.037512701,0,zg,24.7764585,52.7602924,0.486999989,0.0189999994,20180810468322,775,0x4,0x1,21.2700005,26.0097637,0.0187340733,-0.0555432774,7.90189461e-06,30,1.09599996,1
45,775104100001769,58845112,2458342.9516489385,58342.4511227,18.5671673,0.0369494483,0,zg,24.7764453,52.7603098,1.13800001,-0.0160000008,20180812451042,775,0x4,0x1,21.7299995,26.1195431,0.0176865142,-0.0447771512,6.92990534e-06,30,1.11099994,1
46,775104100001769,58945184,2458343.952442444,58343.4518403,18.5082245,0.0358069651,0,zg,24.7764741,52.7602928,0.759000003,-0.061999999,20180813451829,775,0x4,0x1,21.9200001,26.2378807,0.0166418813,-0.051086884,6.13807651e-06,30,1.10599995,1
47,775104100001769,59040510,2458344.9057785207,58344.4051042,18.5300598,0.0362233557,0,zg,24.7764328,52.7602915,1.801,-0.150999993,20180814405104,775,0x4,0x1,21.7600002,26.2277699,0.0170616694,-0.0597861297,6.76067293e-06,30,1.19200003,1
48,775104100001769,59144386,2458345.944618545,58345.4438657,18.5268478,0.0361616127,0,zg,24.7764309,52.7602881,0.574000001,-0.0329999998,20180815443773,775,0x4,0x1,21.7900009,26.222641,0.0158383995,-0.0663826689,5.50790128e-06,30,1.10899997,1
49,775104100001769,59246409,2458346.96492698,58346.4640972,18.5330009,0.0362800434,0,zg,24.7764058,52.7602957,0.838999987,0.0340000018,20180816464062,775,0x4,0x1,21.6399994,26.1476192,0.0186251849,-0.0390525535,7.63623666e-06,30,1.08299994,1
50,775104100001769,59347406,2458347.974968236,58347.4740625,18.514967,0.0359346941,0,zg,24.7764488,52.7603075,0.523000002,0.0680000037,20180817473993,775,0x4,0x1,21.8400002,26.2256298,0.0191327073,-0.0412112363,8.18292392e-06,30,1.07500005,1
51,775104100001769,59446918,2458348.9701701626,58348.4691898,18.4539528,0.0348059572,0,zg,24.7764507,52.7603041,0.638000011,-0.0179999992,20180818469109,775,0x4,0x1,21.8899994,26.2324657,0.0187417958,-0.0412082709,7.88444504e-06,30,1.07500005,1
52,775104100001769,59542837,2458349.9294316657,58349.4283796,18.5360336,0.0363386571,0,zg,24.7764536,52.7602954,1.33299994,-0.112999998,20180819428310,775,0x4,0x1,22.0400009,26.2812824,0.0180316307,-0.0641931966,7.29880912e-06,30,1.11500001,1
53,775104100001769,59645732,2458350.958455135,58350.4573264,18.4716873,0.0351278298,0,zg,24.7764453,52.7602856,0.72299999,0.0280000009,20180820457245,775,0x4,0x1,22.1100006,26.2603207,0.0210119411,-0.0468631685,9.68030508e-06,30,1.079,1
54,775104100001769,59744065,2458351.9418614213,58351.4406597,18.5120602,0.0358795449,0,zg,24.7764624,52.7602875,0.855000019,-0.0199999996,20180821440625,775,0x4,0x1,21.9500008,26.2712631,0.0171565227,-0.0517556854,6.66545566e-06,30,1.09200001,1
55,775104100001769,59842054,2458352.921818164,58352.420544,18.4585857,0.034889549,0,zg,24.7764551,52.7602864,0.414999992,0.0189999994,20180822420486,775,0x4,0x1,22.0300007,26.2506886,0.0183703899,-0.052043885,7.29679186e-06,30,1.11399996,1
56,775104100001769,60645011,2458360.9519703337,58360.4501157,18.478693,0.0352563523,0,zg,24.7764442,52.7603182,1.11199999,-0.0769999996,20180830450116,775,0x4,0x1,20.2600002,26.3069096,0.0235374421,-0.0330545157,1.21234125e-05,30,1.07700002,1
57,775104100001769,60747398,2458361.975908152,58361.4739815,18.5486012,0.0365832299,0,zg,24.7764237,52.7603186,0.643000007,0.0280000009,20180831473900,775,0x4,0x1,20.6700001,26.3075027,0.0207952634,-0.0362444445,9.72798716e-06,30,1.07799995,1
58,775104100001769,60848902,2458362.991025331,58362.4890278,18.4409943,0.0345739126,0,zg,24.7764793,52.7602975,0.476000011,-0.0299999993,20180901488970,775,0x4,0x1,20.9500008,26.3069592,0.018016763,-0.0481250733,7.24453002e-06,30,1.08599997,1
59,775104100001769,60940787,2458363.9099316373,58363.4078704,18.4482365,0.0347032771,0,zg,24.7764686,52.7602948,0.598999977,-0.0299999993,20180902407766,775,0x4,0x1,20.8700008,26.2879925,0.0184128508,-0.0649101213,7.60893954e-06,30,1.10000002,1
60,775104100001769,61040986,2458364.911991292,58364.4098611,18.5096645,0.0358341858,0,zg,24.7764649,52.7602848,0.375,-0.0209999997,20180903409803,775,0x4,0x1,21.0400009,26.2807541,0.0203019008,-0.0641802624,9.17559009e-06,30,1.09500003,1
61,775104100001769,61139966,2458365.901862156,58365.3996644,18.466444,0.0350321308,0,zg,24.7764383,52.7602899,1.08599997,-0.0410000011,20180904399595,775,0x4,0x1,21.4699993,26.321249,0.0162516907,-0.0730073899,5.98760107e-06,30,1.10300004,1
62,775104100001769,61242166,2458366.923933624,58366.4216667,18.5005589,0.0356626771,0,zg,24.7764881,52.7603099,0.787999988,0.0109999999,20180905421424,775,0x4,0x1,21.4899998,26.3604164,0.0183169395,-0.111177176,7.56414465e-06,30,1.08200002,1
